market,region,visit_spend,nights_spend,visits_total,spend_total
Argentina,Americas,707.041211,126.3998203,954270.9033,572087.2755
Australia,Oceania,856.9531412,145.4753338,9334664.615,6386702.023
Austria,Western Europe,529.1389792,119.7980568,2357578.291,1077229.165
Bahrain,Middle East,2315.245259,371.4691035,127117.9259,276297.4684
Belgium,Western Europe,409.3077483,118.5328638,6489968.084,2117209.925
Brazil,Americas,1056.5679,147.1262227,2350472.657,2015845.761
Bulgaria,Eastern Europe,574.6585547,110.1667062,647314.8492,337890.7955
Canada,Americas,777.6963367,132.9749778,6557314.495,3684552.53
Chile,Americas,788.2092167,178.7873682,215603.9926,138888.2834
China,Asia,1378.632062,202.1658998,1438822.664,1902292.16
Czech Republic,Eastern Europe,410.4327539,88.22433975,2041763.329,703887.5397
Denmark,Western Europe,553.0456664,126.4706375,5060604.759,2411837.374
Egypt,Africa,1724.488158,262.9247346,479996.6929,811352.3905
Finland,Western Europe,579.0832707,121.8362121,1829069.684,891772.808
France,Western Europe,574.1935966,88.10958129,25546731.04,8587062.252
Germany,Western Europe,506.3048087,89.48942106,19471242.19,7230993.84
Greece,Western Europe,937.3182723,155.9150411,1884581.132,1409023.024
Hong Kong,Asia,1163.049724,218.3620501,1616166.325,1618234.016
Hungary,Eastern Europe,453.204526,93.09280324,1603062.117,609428.0987
Iceland,Western Europe,608.6844155,178.7062832,546374.1368,325120.7308
India,Asia,967.4205185,121.9393835,3590977.072,2729283.563
Indonesia,Asia,1298.668223,246.684789,171514.6496,186063.9321
Irish Republic,Western Europe,473.1344199,112.3932788,11068917.02,3971367.425
Israel,Middle East,799.7116779,153.9034355,2162686.904,1446653.522
Italy,Western Europe,665.485888,93.71542287,14600490.87,6795224.755
Japan,Asia,939.4029028,154.893192,3180214.172,2392008.059
Kenya,Africa,1042.691177,163.6090193,326289.5259,349290.074
Kuwait,Middle East,2749.664281,346.4693222,916399.0065,2785513.718
Luxembourg,Western Europe,431.7619781,160.4307429,622292.5456,280469.9133
Malaysia,Asia,1022.168812,164.4228399,1293294.083,1114658.789
Mexico,Americas,833.4465274,167.6524137,1076967.791,837400.5963
Netherlands,Western Europe,437.041013,109.1453963,10563690.79,3802165.402
New Zealand,Oceania,741.0940963,121.2301518,1713035.194,1029730.193
Nigeria,Africa,1668.85761,277.6896154,1683451.459,2458156.51
Norway,Western Europe,658.3767387,153.0140112,5369615.476,3054023.331
Oman,Middle East,2539.689897,277.5286309,96412.31692,185105.3678
Other Africa,Africa,1312.001633,183.6340869,1568618.298,1767534.178
Other Asia,Asia,1124.435663,174.3173185,1105416.658,1035664.272
Other Central & South America,Americas,920.9398631,146.0450371,1658592.974,1285412.975
Other Eastern Europe,Eastern Europe,776.7494849,120.592924,4491069.991,2510280.915
Other Middle East,Middle East,1996.044062,351.2521536,1145265.081,1934146.848
Other Southern Africa,Africa,868.9581789,178.2823506,240923.3976,203814.8459
Other Western Europe,Western Europe,973.5517327,165.2930524,1707971.184,1343450.11
Pakistan,Asia,1307.004052,190.2007843,709389.964,808242.2696
Poland,Eastern Europe,532.6229506,70.22432471,6300912.073,2461847.635
Portugal,Western Europe,572.0498268,105.026887,2521382.728,1168166.346
Qatar,Middle East,2890.34881,365.8066726,285978.2892,786492.5569
Romania,Eastern Europe,669.6896188,99.16056239,1733936.277,956254.0398
Russia,Eastern Europe,1058.794267,190.9584474,2251041.349,2267904.498
Saudi Arabia,Middle East,2199.74223,342.2929997,1082679.152,2933829.44
Serbia,Eastern Europe,699.7353047,148.7986136,117241.8548,79055.23962
Singapore,Asia,1147.31681,219.1124676,1418844.888,1474930.994
South Africa,Africa,913.830315,158.1579602,2339150.386,1896477.973
South Korea,Asia,903.4138056,142.9131916,1953817.53,1110302.791
Spain,Western Europe,653.3988985,96.06580198,14254992.03,6422565.443
Sweden,Western Europe,611.9240229,122.4003812,6833951.801,3317411.749
Switzerland,Western Europe,789.3352659,176.5972329,6320596.895,3643155.768
Taiwan,Asia,1266.817992,158.930899,433254.2369,447622.8593
Thailand,Asia,1019.320575,176.0458489,562582.5644,533373.3701
Turkey,Asia,1040.590433,178.7338423,1278246.601,1146450.977
United Arab Emirates,Middle East,1930.998969,284.0100903,1920076.652,3235625.318
USA,Americas,1021.64016,148.1171493,34392219.05,24921263.06
